# U,V,K,OSMID,NAME
683403589,1501754941,0,1147928919,Los Álamos
683414744,1068577506,0,568785027,Avenida El Sauce
683414744,1069061317,0,54180517,Jenaro Díaz
683414744,2316628617,0,1148011249,Avenida El Sauce
683414746,683403589,0,54180515,Francisco de Paula Carmona
683414746,1068577639,0,711689220,Francisco de Paula Carmona
683776802,7661636894,0,212557864,Avenida El Sauce
683776802,2475717170,0,212557864,Avenida El Sauce
683776802,2475717170,1,239802458,Capitán Pedro de Lisperguer
683776954,683776960,0,92188977,Leopoldo Julio Legay
683776954,1070158240,0,92188977,Leopoldo Julio Legay
683776954,703546579,0,1146805612,Avenida Las Flores
683776954,3753350390,0,377305839,Avenida Las Flores
683776956,703546578,0,55667622,Las Salvias
683776956,699447006,0,1146805610,Los Geranios
683776956,1070157750,0,1146805611,Los Geranios
683776958,703546579,0,54224315,Las Zinnias
683776958,1070158240,0,1146805609,Los Geranios
683776958,699447006,0,1146805610,Los Geranios
683776959,712746364,0,54224315,Las Zinnias
683776959,703546579,0,54224315,Las Zinnias
683776959,7267900847,0,54224316,Los Ceibos
683776959,699447009,0,54224316,Los Ceibos
683776960,7267900847,0,54224316,Los Ceibos
683776960,683776954,0,92188977,Leopoldo Julio Legay
683776960,1860949290,0,54224316,Los Ceibos
683778636,683778638,0,54224466,Alberto Castex Taborga
683778636,1860949428,0,1146805617,Avenida Las Flores
683778636,683778637,0,1146805617,Avenida Las Flores
683778637,683778636,0,1146805617,Avenida Las Flores
683778637,1860949397,0,1146805617,Avenida Las Flores
683778638,2705942594,0,372544523,Alberto Castex Taborga
683778641,2705942603,0,264944932,Alberto Castex Taborga
683778641,2705942600,0,372544523,Alberto Castex Taborga
683778642,2705942594,0,264944929,Hernan Vera Lamperein
683778642,683778644,0,372544523,Alberto Castex Taborga
683778644,683778637,0,372544522,Alberto Castex Taborga
683778644,683778638,0,372544523,Alberto Castex Taborga
683778723,1054600006,0,1154125930,Avenida Peñuelas Sur
683778723,713901195,0,106732944,Avenida Peñuelas Sur
683778723,1054608973,0,1154125928,Los Pescadores
699224351,699224355,0,212546528,Juan de Dios Melgarejo
699224351,1001283560,0,229184681,Juan Agustín Alcalde
699224352,703549731,0,41770896,Pablo Garriga
699224352,699224351,0,212546528,Juan de Dios Melgarejo
699224354,5308585196,0,[227695044, 399517868],['Juan de Dios Melgarejo', 'Juan Antonio Ríos']
699224354,2363379168,0,1149743092,Camilo Henríquez
699224355,401399074,0,1116562952,Diego Portales Palazuelos
699224355,699224354,0,[212546528, 1149743090],Juan de Dios Melgarejo
699224356,699224352,0,212546528,Juan de Dios Melgarejo
699224356,2363379159,0,227695025,José Manuel Borgoño
699224357,1054544043,0,91973581,Juan Gregorio Las Heras
699224357,699225793,0,212546528,Juan de Dios Melgarejo
699224358,2363379149,0,227695050,Juan Gregorio Las Heras
699224358,699460688,0,137363524,Juan Gregorio Las Heras
699224358,1861970992,0,792544898,Avenida Francisco Varela
699224359,401399076,0,227695028,José Manuel Borgoño
699224359,699225795,0,[792544899, 1116562966],Avenida Francisco Varela
699225790,703549729,0,142064012,Eleuterio Ramírez
699225790,1001283610,0,261599759,Avenida Matta
699225793,699224356,0,212546528,Juan de Dios Melgarejo
699225793,699225796,0,229184687,Francisco Bilbao
699225794,401399072,0,588446305,Avenida Costanera
699225794,699225795,0,1116562959,Francisco Bilbao
699225795,2363379154,0,1116562958,Francisco Bilbao
699225795,699224358,0,[792544901, 1116562967],Avenida Francisco Varela
699225796,1064724939,0,229184687,Francisco Bilbao
699225796,1068521043,0,277031644,José Santiago Aldunate
699225797,1054544158,0,222547279,José María Benavente
699225797,401399089,0,247561738,José Santiago Aldunate
699225799,1001258110,0,86257254,Colo Colo
699225799,1860901805,0,[1149743096, 412142723],Avenida Bernardo Ossandón
699225801,3342237121,0,55647751,Avenida Bernardo Ossandón
699225801,1001258282,0,524554139,Guacolda
699225801,1001295684,0,524554140,Avenida Bernardo Ossandón
699225802,1001258233,0,711562621,Pedro Lagos
699225802,1001258265,0,1149193753,Guacolda
699225862,699225802,0,792676969,Pedro Lagos
699225862,1070157368,0,92033737,Avenida Presidente Arturo Alessandri
699225863,1001283349,0,86257259,Doctor Marín
699225863,1001283420,0,1148935890,Eleuterio Ramírez
699226489,2334813598,0,225936533,Wenceslao Vargas
699226489,1001258359,0,86257269,Doctor Gustavo Galleguillos
699226490,1069151080,0,100573443,J. J. Mac-Auliffe
699226490,2341494595,0,225364420,nan
699226493,3785100690,0,225877676,Pedro Aguirre Cerda
699226493,1001308736,0,225877677,Pedro Aguirre Cerda
699226494,703549728,0,1149414824,Pedro Montt
699226495,1001258110,0,442509953,O'Higgins
699226495,1001258174,0,1149414825,Pedro Montt
699226497,1001258110,0,442509953,O'Higgins
699226497,1064752999,0,765237526,O'Higgins
699226497,1001283540,0,1149920099,Balmaceda
699226498,368119514,0,32025174,Camilo Henríquez
699226498,1068959732,0,568785043,Bernardo O'Higgins
699253947,3752827719,0,141653274,Avenida La Cantera
699253947,9961798005,0,1152958749,Avenida La Cantera
699253959,1054544237,0,85361116,Avenida Costanera
699253959,1570019090,0,547310450,Avenida Costanera
699446996,699447024,0,372544517,Avenida Las Flores
699446996,3759802035,0,1146805613,Avenida Las Flores
699446996,699447143,0,[55667625, 55667619],['Los Gomeros', 'Las Valerianas']
699447006,680614658,0,55667620,Las Siempre Vivas
699447006,683776958,0,1146805610,Los Geranios
699447006,683776956,0,1146805610,Los Geranios
699447009,683776959,0,54224316,Los Ceibos
699447009,699447012,0,55667620,Las Siempre Vivas
699447009,680614658,0,55667620,Las Siempre Vivas
699447009,1585375602,0,55667621,Los Ceibos
699447012,699447009,0,55667620,Las Siempre Vivas
699447012,699447016,0,55668391,Los Narcizos
699447012,712746364,0,1146805605,Los Narcizos
699447016,1585375602,0,55667622,Las Salvias
699447016,699447020,0,55668391,Los Narcizos
699447016,699447012,0,55668391,Los Narcizos
699447020,1585375602,0,55667621,Los Ceibos
699447020,699447016,0,55668391,Los Narcizos
699447020,699447024,0,372117496,Los Amarantos
699447020,3756516279,0,372117496,Los Amarantos
699447024,699447020,0,372117496,Los Amarantos
699447024,1070158458,0,372544517,Avenida Las Flores
699447024,699446996,0,372544517,Avenida Las Flores
699447061,1860949274,0,55667623,Las Añañucas
699447061,1860949257,0,175518787,Las Fresias Oriente
699447061,10671697484,0,1146805620,Las Añañucas
699447143,3756514080,0,372420595,Los Tamarindos
699447143,699446996,0,[55667625, 55667619],['Los Gomeros', 'Las Valerianas']
699447143,3759802033,0,372420595,Los Tamarindos
699460688,1054544049,0,1116562968,Juan Gregorio Las Heras
699460688,699225794,0,227695009,Avenida Costanera
702322266,3424068506,0,792218525,Avenida José Joaquín Pérez
702322266,1070157374,0,1107423464,Avenida La Cantera
702322268,2595440640,0,227938188,Avenida José Joaquín Pérez
702322268,2595440640,1,253640958,Pasaje José Joaquín Pérez Sur
702322268,1070158857,0,227938188,Avenida José Joaquín Pérez
702322274,1503426569,0,137049220,Avenida José Joaquín Pérez
702322274,1503426561,0,1153357486,Avenida José Joaquín Pérez
702322274,1503426667,0,1153357650,Avenida José Joaquín Pérez
702322284,5731414332,0,55945809,Marbella
702322284,1503095345,0,227938190,Avenida José Joaquín Pérez
702322284,7807708391,0,227938190,Avenida José Joaquín Pérez
702322285,680484742,0,740024267,Regimiento Arica
702322285,1503095253,0,55945810,Miramar
702322292,1503095253,0,55945810,Miramar
702322292,1503095299,0,[137016932, 1154814351],Avenida Miramar
702323635,1068577071,0,100855629,Avenida Los Clarines
702323635,1860933660,0,100855629,Avenida Los Clarines
702323638,5263729706,0,1148011287,Avenida Los Clarines
702323638,2319039529,0,175517314,Dalivor Zuvic Caglevic
702323638,1860933660,0,524554135,Avenida Los Clarines
702323640,1069305021,0,55946201,Glorias Navales
702323640,1069305041,0,1148011254,Avenida Los Clarines
702323640,5263729705,0,1148011254,Avenida Los Clarines
702323641,1069305038,0,565534976,Francisco Cabello Cardenas
702323641,1069305031,0,1148011253,Avenida Los Clarines
702323641,1069301888,0,565534975,Francisco Cabello Cardenas
702323641,1069305041,0,1148011254,Avenida Los Clarines
702323644,1069304954,0,55945960,Francisco Motta Alberti
702323644,1069305013,0,1148011252,Avenida Los Clarines
702323644,1069304937,0,1148011252,Avenida Los Clarines
702323645,1069304945,0,55945958,Ernesto Marín Álvarez
702323645,3344395931,0,1148011252,Avenida Los Clarines
702323645,1069304994,0,1148011252,Avenida Los Clarines
702323646,1069304946,0,55945958,Ernesto Marín Álvarez
702323646,1069304934,0,55945959,Carlos Brito Iturrieta
702323646,3344395932,0,327628745,Carlos Brito Iturrieta
702325647,1001295431,0,224933994,Acceso a Puerto de Guayacán
702325647,6565481004,0,699155761,Ruta 5 Norte
702325648,1068577658,0,91979937,Avenida Presidente Alessandri
702325648,1068577136,0,212557895,Avenida Presidente Arturo Alessandri
702325648,1069284033,0,1148209554,Avenida Los Copihues
702325653,1068522286,0,221911257,Avenida Los Copihues
702325653,1069048416,0,232290969,Los Tulipanes
702325654,702325656,0,55946203,Alejandro Díaz
702325654,1069305006,0,55946203,Alejandro Díaz
702325654,1069305022,0,565534976,Francisco Cabello Cardenas
702325655,1069305014,0,55946201,Glorias Navales
702325655,1069304942,0,55946202,Santiago Whart
702325655,3334283724,0,55946201,Glorias Navales
702325656,702325654,0,55946203,Alejandro Díaz
702325656,1069304964,0,92061639,Alejandro Díaz
702325656,1069304942,0,55946202,Santiago Whart
702326098,1069289102,0,1148209553,Avenida Los Copihues
702326098,1069289059,0,1148209553,Avenida Los Copihues
702326098,1069289106,0,1151980475,Los Pimientos
702326103,1068577061,0,55946223,Los Arrayanes
702326103,1068577370,0,792281074,Avenida Los Clarines
702326105,10680720260,0,674159700,Avenida El Sauce
702326105,1068577233,0,674159700,Avenida El Sauce
702326109,2310038413,0,92026232,Las Azucenas
702326109,1069048239,0,1148008572,Avenida El Sauce
702326109,1069048490,0,674159700,Avenida El Sauce
702326109,10739849233,0,[792271400, 55946225],Las Azucenas
702326113,1069048088,0,55946225,Las Azucenas
702326113,1069047944,0,55946225,Las Azucenas
702326113,1068577073,0,232290966,Las Orquídeas
702326117,1068577262,0,221905556,Avenida Los Clarines
702326117,1068577541,0,91979809,Las Azucenas
702326117,1501794785,0,240968325,Las Azucenas
703546472,3756985643,0,221911256,Avenida Las Flores
703546472,1165535036,0,699155735,Ruta 5 Norte
703546578,1585375602,0,55667622,Las Salvias
703546578,683776956,0,55667622,Las Salvias
703546578,680614658,0,372544517,Avenida Las Flores
703546578,1070158458,0,372544517,Avenida Las Flores
703546579,683776959,0,54224315,Las Zinnias
703546579,683776958,0,54224315,Las Zinnias
703546579,683776954,0,1146805612,Avenida Las Flores
703546579,680614658,0,1146805612,Avenida Las Flores
703549728,1001258101,0,55647751,Avenida Bernardo Ossandón
703549728,2426793569,0,55647751,Avenida Bernardo Ossandón
703549728,10693029597,0,568785042,Pedro Montt
703549729,1162802320,0,228436867,Eleuterio Ramírez
703549729,1570014927,0,227695011,Avenida Videla
703549730,401399084,0,442510749,Aníbal Pinto
703549731,703549730,0,41770896,Pablo Garriga
703549731,401399071,0,277031644,José Santiago Aldunate
712746364,683776959,0,54224315,Las Zinnias
712746364,699447012,0,1146805605,Los Narcizos
712746364,3760585483,0,372502200,nan
